tourist_id,gender,age,age_group,source_province,attraction_name,attraction_category,attraction_level,city,province,ticket_price,visit_date,visit_duration_hours,spend_amount,other_spend,rating,is_group_tour,group_fee,trip_days,main_spots,transport_mode,season,is_holiday,recommendation_level,satisfaction_level
59,Female,70,56+,Inner Mongolia,Gong Wang Fu,Historical Architecture,5A,Beijing,Beijing,40,2024/5/16,2.2,436.91,396.91,4.4,No,,,,,Chun Ji,No,Recommend,Satisfied
60,Female,64,56+,Hong Kong,Chang Bai Shan,Natural Scenery,5A,Yan Bian Zhou,Jilin,125,2022/9/10,3.6,125,0,4.5,Yes,4648,4,"Shang Hai Chen Shan Zhi Wu Yuan ,  Zhong Nan Shan ,  Tai Yang Dao",Kong Tiao Da Ba,Autumn,Yes,Highly Recommend,Very Satisfied
61,Female,20,18-25,Guizhou,Yun Gang Shi Ku,Historical Culture,5A,Da Tong Shi,Shanxi,120,2023/7/2,1.8,411.87,291.87,4.6,No,,,,,Summer,Yes,Highly Recommend,Very Satisfied
62,Male,52,46-55,Taiwan,Qing Dong Ling,Historical Site,5A,Tang Shan Shi,Hebei,108,2023/9/6,4.5,344.78,236.78,4.1,No,,,,,Autumn,No,Recommend,Satisfied
63,Male,53,46-55,Sichuan,Cha Ya Shan,Natural Scenery,5A,Zhu Ma Dian Shi,Henan,70,2025/4/16,3.7,70,0,4.6,Yes,6013,6,"Chang Jia Zhuang Yuan ,  Yuan Tou Zhu ,  Cai Shi Ji ,  Po Yang Hu",Gao Tie + Da Ba,Chun Ji,No,Highly Recommend,Very Satisfied
64,Male,27,26-35,Sichuan,An Yuan Lu Kuang Gong Ren Yun Dong Ji Nian Guan,Revolutionary Site,4A,Ping Xiang Shi,Jiangxi,0,2022/7/29,5,0,0,3.9,No,,,,,Summer,No,Recommend,Satisfied
65,Male,55,46-55,Jiangxi,Fu Rong Zhen,Ancient Town,4A,Xiang Xi Zhou,Hunan,75,2024/1/12,2.7,297.76,222.76,4.1,No,,,,,Winter,Yes,Recommend,Satisfied
66,Female,24,18-25,Yunnan,Lang Zhong Gu Cheng,Ancient Town,5A,Nan Chong Shi,Sichuan,120,2023/8/8,7.3,553.55,433.55,4.3,No,,,,,Summer,No,Recommend,Satisfied
67,Male,62,56+,Ningxia,Bei Hai Gong Yuan,Cheng Shi Gong Yuan,4A,Beijing,Beijing,10,2022/10/18,6,10,0,4.5,No,,,,,Autumn,Yes,Highly Recommend,Very Satisfied
68,Male,24,18-25,Heilongjiang,Zi Que Jie Ti Tian,Natural Scenery,4A,Lou Di Shi,Hunan,68,2022/12/26,7.6,68,0,4.5,Yes,742,5,"Mei Zhou Dao ,  Hu Kou Pu Bu ,  Dong Guan Ke Yuan",Kong Tiao Da Ba,Winter,No,Highly Recommend,Very Satisfied
69,Female,50,46-55,Tibet,Jin Ci,Historical Culture,4A,Tai Yuan Shi,Shanxi,80,2024/12/21,4.8,260.28,180.28,4.3,No,,,,,Winter,Yes,Recommend,Satisfied
70,Male,60,56+,Liaoning,Yan Tai Shan,Natural Scenery,4A,Yan Tai Shi,Shandong,50,2022/7/20,1.4,291.36,241.36,4.8,Yes,5514,4,"Huang Long ,  Wu Qiao Za Ji Da Shi Jie ,  Zi Que Jie Ti Tian",Gao Tie + Da Ba,Summer,No,Highly Recommend,Very Satisfied
71,Female,21,18-25,Hebei,Da Li Gu Cheng,Ancient Town,4A,Da Li Zhou,Yunnan,0,2023/1/6,5,0,0,3.8,Yes,7747,6,"Jiu Yi Ba Li Shi Bo Wu Guan ,  Tai Er Zhuang Gu Cheng ,  Wang Jia Da Yuan ,  Heng Shui Hu ,  Hai Kou Huo Shan Kou",Gao Tie + Da Ba,Winter,Yes,Recommend,Satisfied
72,Female,40,36-45,Hubei,Liu Ding Shan,Religious Culture,5A,Yan Bian Zhou,Jilin,110,2024/3/30,5.3,514.95,404.95,5,No,,,,,Chun Ji,Yes,Highly Recommend,Very Satisfied
73,Female,56,56+,Liaoning,Hu Lu Dao Xing Cheng Gu Cheng,Historical Culture,4A,Hu Lu Dao Shi,Liaoning,50,2024/11/8,2.9,226.69,176.69,4.5,Yes,1538,7,"Lao Jun Shan ,  Da Qing Tie Ren Ji Nian Guan ,  Gong Wang Fu",Kong Tiao Da Ba,Autumn,No,Highly Recommend,Very Satisfied
74,Male,30,26-35,Hubei,Hai Luo Gou,Natural Scenery,5A,Gan Zi Zhou,Sichuan,90,2024/9/15,3.7,110.34,20.34,4.7,Yes,6693,6,"Zhu Jia Jiao Gu Zhen ,  Xia Men Yuan Lin Zhi Wu Yuan ,  Gong Wang Fu ,  Po Yang Hu ,  Wu Gong Shan",Gao Tie + Da Ba,Autumn,Yes,Highly Recommend,Very Satisfied
75,Female,21,18-25,Hainan,Xi An Cheng Qiang,Historical Architecture,5A,Xi An Shi,Shaanxi,54,2024/7/4,6.7,354.13,300.13,4.8,No,,,,,Summer,No,Highly Recommend,Very Satisfied
76,Male,28,26-35,Tibet,Wu Yi Shan,Natural Culture,5A,Nan Ping Shi,Fujian,140,2024/12/22,3.5,582.14,442.14,4,No,,,,,Winter,Yes,Recommend,Satisfied
77,Female,44,36-45,Chongqing,Xi Bai Po,Revolutionary Site,5A,Shi Jia Zhuang Shi,Hebei,0,2023/11/25,1.9,470.81,470.81,4.7,No,,,,,Autumn,Yes,Highly Recommend,Very Satisfied
78,Female,36,36-45,Shandong,Jiu Yi Ba Li Shi Bo Wu Guan,Revolutionary Site,4A,Shen Yang Shi,Liaoning,0,2023/8/3,7.9,177.62,177.62,4.2,No,,,,,Summer,No,Recommend,Satisfied
79,Male,70,56+,Jiangxi,Wu Dang Shan,Natural Culture,5A,Shi Yan Shi,Hubei,243,2023/3/25,7.5,322.27,79.27,4.1,No,,,,,Chun Ji,Yes,Recommend,Satisfied
80,Male,26,26-35,Guangxi,Sui Hua Jin Gui Shan Zhuang,Natural Scenery,4A,Sui Hua Shi,Heilongjiang,50,2024/1/3,1.1,378.69,328.69,4,Yes,1785,5,"Qian Jiang Cao Yu Gong Yuan ,  Lu Ya Shan ,  Lang Fang Tian Xia Di Yi Cheng ,  Hua Shan Mi Ku",Gao Tie + Da Ba,Winter,Yes,Recommend,Satisfied
81,Male,25,18-25,Tianjin,Bo Zhou Hua Xi Lou,Historical Architecture,4A,Bo Zhou Shi,Anhui,60,2023/4/8,5.2,114.67,54.67,4.5,No,,,,,Chun Ji,Yes,Highly Recommend,Very Satisfied
82,Male,18,18-25,Jilin,Nan Shan Wen Hua Lv You Qu,Religious Culture,5A,San Ya Shi,Hainan,129,2023/1/15,2.4,624.87,495.87,4.6,No,,,,,Winter,Yes,Highly Recommend,Very Satisfied
83,Male,30,26-35,Hainan,Xi Tang Gu Zhen,Ancient Town,5A,Jia Xing Shi,Zhejiang,95,2023/11/14,5.6,95,0,5,No,,,,,Autumn,No,Highly Recommend,Very Satisfied
84,Male,61,56+,Fujian,Han Yang Ling,Historical Site,4A,Xian Yang Shi,Shaanxi,70,2023/8/6,4,202.1,132.1,4.7,No,,,,,Summer,Yes,Highly Recommend,Very Satisfied
85,Female,54,46-55,Tianjin,Xuan Kong Si,Religious Culture,4A,Da Tong Shi,Shanxi,125,2022/11/23,4.5,384.66,259.66,3.9,Yes,5163,2,"Jiu Hua Shan ,  Shi Lin ,  Bei Dai He ,  Chao Zhou Guang Ji Qiao ,  Bai Yun Shan",Gao Tie + Da Ba,Autumn,No,Recommend,Satisfied
86,Female,34,26-35,Beijing,Da Qing Tie Ren Ji Nian Guan,Revolutionary Site,4A,Da Qing Shi,Heilongjiang,0,2022/11/1,2.8,0,0,4.7,Yes,2578,3,"Shang Hai Shi Ji Gong Yuan ,  Liu Ye Hu ,  Fang Chuan Feng Jing Qu ,  Mu Lan Wen Hua Sheng Tai Lv You Qu ,  Chang Jia Zhuang Yuan ,  Shan Hai Guan",Fei Ji + Da Ba,Autumn,No,Highly Recommend,Very Satisfied
87,Male,37,36-45,Chongqing,Shao Shan,Revolutionary Site,5A,Xiang Tan Shi,Hunan,60,2024/1/29,6.4,60,0,4.9,No,,,,,Winter,Yes,Highly Recommend,Very Satisfied
88,Female,20,18-25,Hainan,Hui Min Jie,Food Street,3A,Xi An Shi,Shaanxi,0,2023/1/6,5.5,0,0,3.1,No,,,,,Winter,Yes,Neutral,Neutral
89,Male,61,56+,Zhejiang,Huang He Lou,Historical Architecture,5A,Wu Han Shi,Hubei,70,2022/12/1,7,70,0,3.8,Yes,3203,3,"Long Wan Qun Guo Jia Sen Lin Gong Yuan ,  Qing Dao Pi Jiu Bo Wu Guan ,  Du Fu Cao Tang ,  Qiong Hai Bo Ao Ya Zhou Lun Tan ,  Zhao Zhou Qiao",Fei Ji + Da Ba,Winter,No,Recommend,Satisfied
90,Male,63,56+,Inner Mongolia,Jian Men Guan,Historical Culture,5A,Guang Yuan Shi,Sichuan,105,2023/8/25,4.3,313.03,208.03,4.3,No,,,,,Summer,No,Recommend,Satisfied
91,Female,59,56+,Anhui,Hong Qi Qu,Revolutionary Site,5A,An Yang Shi,Henan,80,2022/5/4,6.2,316.7,236.7,4.7,No,,,,,Chun Ji,No,Highly Recommend,Very Satisfied
92,Female,46,46-55,Anhui,Gu Gong Bo Wu Yuan,Historical Culture,5A,Beijing,Beijing,60,2022/5/19,2.6,188.93,128.93,4.5,No,,,,,Chun Ji,No,Highly Recommend,Very Satisfied
93,Male,46,46-55,Liaoning,Yi Chun Wu Ying Guo Jia Sen Lin Gong Yuan,Natural Scenery,4A,Yi Chun Shi,Heilongjiang,60,2024/4/10,5.5,127.37,67.37,4.8,Yes,1131,3,"Shen Zhen Dong Bu Hua Qiao Cheng ,  Yue Yang Jun Shan Dao ,  Bei Jing Dong Wu Yuan ,  Yun Nan Min Zu Cun ,  Lang Zhong Gu Cheng",Kong Tiao Da Ba,Chun Ji,No,Highly Recommend,Very Satisfied
94,Male,29,26-35,Guangdong,Shang Hai Huan Le Gu,Theme Park,4A,Shanghai,Shanghai,230,2024/10/4,4.5,230,0,3.9,Yes,2932,2,"Nan Yue Heng Shan ,  Lu Gu Hu ( Yun Nan Bu Fen ),  Da Qing Tie Ren Ji Nian Guan ,  Ning De Yuan Yang Xi ,  Tai Hang Shan Da Xia Gu",Fei Ji + Da Ba,Autumn,Yes,Recommend,Satisfied
95,Female,50,46-55,Shanghai,Shao Lin Si,Religious Culture,5A,Zheng Zhou Shi,Henan,100,2023/4/11,2.1,100,0,4.5,No,,,,,Chun Ji,No,Highly Recommend,Very Satisfied
96,Female,60,56+,Shanghai,Qin Shi Huang Bing Ma Yong,Historical Site,5A,Xi An Shi,Shaanxi,120,2023/10/3,1.1,484.01,364.01,4.6,No,,,,,Autumn,Yes,Highly Recommend,Very Satisfied
97,Female,55,46-55,Anhui,Da Qing Tie Ren Ji Nian Guan,Revolutionary Site,4A,Da Qing Shi,Heilongjiang,0,2023/10/5,6.8,450.11,450.11,4.5,No,,,,,Autumn,Yes,Highly Recommend,Very Satisfied
98,Female,40,36-45,Liaoning,Shao Shan,Revolutionary Site,5A,Xiang Tan Shi,Hunan,60,2025/4/24,2.2,60,0,5,No,,,,,Chun Ji,No,Highly Recommend,Very Satisfied
99,Male,70,56+,Henan,Gu Lang Yu,Historical Culture,5A,Xia Men Shi,Fujian,90,2024/2/2,5,90,0,4.1,No,,,,,Winter,Yes,Recommend,Satisfied
100,Male,42,36-45,Hubei,Bai Shan Chang Bai Shan Da Xia Gu,Natural Scenery,4A,Bai Shan Shi,Jilin,125,2024/4/25,4.4,488.16,363.16,4.6,No,,,,,Chun Ji,No,Highly Recommend,Very Satisfied
101,Male,68,56+,Jilin,Fu Rong Zhen,Ancient Town,4A,Xiang Xi Zhou,Hunan,75,2025/2/13,5.7,75,0,4.7,Yes,2401,7,"Tian Tang Zhai ,  Shang Hai Chen Shan Zhi Wu Yuan ,  San Ya Ya Long Wan ,  Zhong Guo Xue Xiang",Gao Tie + Da Ba,Winter,Yes,Highly Recommend,Very Satisfied
