attraction_name,attraction_category,attraction_level,city,province,ticket_price,price_tier,item_idx,soup
Bei Dai He,Natural_Scenery,4A,Qin_Huang_Dao_Shi,Hebei,0.0,MidRange,15,Natural_Scenery Natural_Scenery Natural_Scenery Qin_Huang_Dao_Shi Qin_Huang_Dao_Shi 4A Hebei MidRange
Bei Hai Gong Yuan,Cheng_Shi_Gong_Yuan,4A,Beijing,Beijing,10.0,Premium,16,Cheng_Shi_Gong_Yuan Cheng_Shi_Gong_Yuan Cheng_Shi_Gong_Yuan Beijing Beijing 4A Beijing Premium
Bei Hai Yin Tan,Natural_Scenery,4A,Bei_Hai_Shi,Guangxi,0.0,MidRange,17,Natural_Scenery Natural_Scenery Natural_Scenery Bei_Hai_Shi Bei_Hai_Shi 4A Guangxi MidRange
Bei Jing Dong Wu Yuan,Zoo,4A,Beijing,Beijing,15.0,Premium,18,Zoo Zoo Zoo Beijing Beijing 4A Beijing Premium
Bei Jing Huan Le Gu,Theme_Park,4A,Beijing,Beijing,299.0,Premium,19,Theme_Park Theme_Park Theme_Park Beijing Beijing 4A Beijing Premium
Bei Jing Ye Sheng Dong Wu Yuan,Zoo,4A,Beijing,Beijing,150.0,Premium,20,Zoo Zoo Zoo Beijing Beijing 4A Beijing Premium
Bei Jing Zhi Wu Yuan,Botanical_Garden,4A,Beijing,Beijing,10.0,Premium,21,Botanical_Garden Botanical_Garden Botanical_Garden Beijing Beijing 4A Beijing Premium
Ben Xi Shui Dong,Zi_Ran_Qi_Guan,5A,Ben_Xi_Shi,Liaoning,110.0,Premium,22,Zi_Ran_Qi_Guan Zi_Ran_Qi_Guan Zi_Ran_Qi_Guan Ben_Xi_Shi Ben_Xi_Shi 5A Liaoning Premium
Bing Lang Gu,Min_Su_Wen_Hua,5A,Bao_Ting_Xian,Hainan,96.0,Premium,23,Min_Su_Wen_Hua Min_Su_Wen_Hua Min_Su_Wen_Hua Bao_Ting_Xian Bao_Ting_Xian 5A Hainan Premium
Bo Zhou Hua Xi Lou,Historical_Architecture,4A,Bo_Zhou_Shi,Anhui,60.0,Premium,24,Historical_Architecture Historical_Architecture Historical_Architecture Bo_Zhou_Shi Bo_Zhou_Shi 4A Anhui Premium
Cai Shi Ji,Historical_Culture,5A,Ma_An_Shan_Shi,Anhui,68.0,Premium,25,Historical_Culture Historical_Culture Historical_Culture Ma_An_Shan_Shi Ma_An_Shan_Shi 5A Anhui Premium
Cha Gan Hu,Natural_Scenery,4A,Song_Yuan_Shi,Jilin,25.0,Premium,26,Natural_Scenery Natural_Scenery Natural_Scenery Song_Yuan_Shi Song_Yuan_Shi 4A Jilin Premium
Cha Ya Shan,Natural_Scenery,5A,Zhu_Ma_Dian_Shi,Henan,70.0,Premium,27,Natural_Scenery Natural_Scenery Natural_Scenery Zhu_Ma_Dian_Shi Zhu_Ma_Dian_Shi 5A Henan Premium
Chang Bai Shan,Natural_Scenery,5A,Yan_Bian_Zhou,Jilin,125.0,Premium,28,Natural_Scenery Natural_Scenery Natural_Scenery Yan_Bian_Zhou Yan_Bian_Zhou 5A Jilin Premium
Chang Chun Dian Ying Zhi Pian Chang,Gong_Ye_Lv_You,4A,Chang_Chun_Shi,Jilin,90.0,Premium,29,Gong_Ye_Lv_You Gong_Ye_Lv_You Gong_Ye_Lv_You Chang_Chun_Shi Chang_Chun_Shi 4A Jilin Premium
Chang Chun Shi Jie Diao Su Yuan,Wen_Hua_Yi_Shu,5A,Chang_Chun_Shi,Jilin,30.0,Premium,30,Wen_Hua_Yi_Shu Wen_Hua_Yi_Shu Wen_Hua_Yi_Shu Chang_Chun_Shi Chang_Chun_Shi 5A Jilin Premium
Chang Jia Zhuang Yuan,Historical_Architecture,4A,Jin_Zhong_Shi,Shanxi,60.0,Premium,31,Historical_Architecture Historical_Architecture Historical_Architecture Jin_Zhong_Shi Jin_Zhong_Shi 4A Shanxi Premium
Chang Sha Shi Jie Zhi Chuang,Theme_Park,4A,Chang_Sha_Shi,Hunan,200.0,Premium,32,Theme_Park Theme_Park Theme_Park Chang_Sha_Shi Chang_Sha_Shi 4A Hunan Premium
Chang Zhou Zhong Hua Kong Long Yuan,Theme_Park,5A,Chang_Zhou_Shi,Jiangsu,260.0,Premium,33,Theme_Park Theme_Park Theme_Park Chang_Zhou_Shi Chang_Zhou_Shi 5A Jiangsu Premium
Chao Hu,Natural_Scenery,4A,He_Fei_Shi,Anhui,0.0,MidRange,34,Natural_Scenery Natural_Scenery Natural_Scenery He_Fei_Shi He_Fei_Shi 4A Anhui MidRange
Chao Zhou Guang Ji Qiao,Historical_Architecture,4A,Chao_Zhou_Shi,Guangdong,20.0,Premium,35,Historical_Architecture Historical_Architecture Historical_Architecture Chao_Zhou_Shi Chao_Zhou_Shi 4A Guangdong Premium
Chen Jia Ci,Historical_Architecture,4A,Guang_Zhou_Shi,Guangdong,10.0,Premium,36,Historical_Architecture Historical_Architecture Historical_Architecture Guang_Zhou_Shi Guang_Zhou_Shi 4A Guangdong Premium
Cheng De Bi Shu Shan Zhuang,Historical_Culture,5A,Cheng_De_Shi,Hebei,130.0,Premium,37,Historical_Culture Historical_Culture Historical_Culture Cheng_De_Shi Cheng_De_Shi 5A Hebei Premium
Cheng Du Da Xiong Mao Fan Yu Ji Di,Zoo,4A,Cheng_Du_Shi,Sichuan,58.0,Premium,38,Zoo Zoo Zoo Cheng_Du_Shi Cheng_Du_Shi 4A Sichuan Premium
Chong Sheng Si San Ta,Religious_Culture,5A,Da_Li_Zhou,Yunnan,75.0,Premium,39,Religious_Culture Religious_Culture Religious_Culture Da_Li_Zhou Da_Li_Zhou 5A Yunnan Premium
Da Jue Shan,Natural_Scenery,5A,Fu_Zhou_Shi,Jiangxi,60.0,Premium,40,Natural_Scenery Natural_Scenery Natural_Scenery Fu_Zhou_Shi Fu_Zhou_Shi 5A Jiangxi Premium
Da Li Gu Cheng,Ancient_Town,4A,Da_Li_Zhou,Yunnan,0.0,MidRange,41,Ancient_Town Ancient_Town Ancient_Town Da_Li_Zhou Da_Li_Zhou 4A Yunnan MidRange
Da Lian Lao Hu Tan Hai Yang Gong Yuan,Theme_Park,5A,Da_Lian_Shi,Liaoning,220.0,Premium,42,Theme_Park Theme_Park Theme_Park Da_Lian_Shi Da_Lian_Shi 5A Liaoning Premium
Da Lian Sen Lin Dong Wu Yuan,Zoo,4A,Da_Lian_Shi,Liaoning,120.0,Premium,43,Zoo Zoo Zoo Da_Lian_Shi Da_Lian_Shi 4A Liaoning Premium
Da Lian Xing Hai Guang Chang,Urban_Landscape,4A,Da_Lian_Shi,Liaoning,0.0,MidRange,44,Urban_Landscape Urban_Landscape Urban_Landscape Da_Lian_Shi Da_Lian_Shi 4A Liaoning MidRange
Da Ming Hu,Natural_Scenery,4A,Ji_Nan_Shi,Shandong,30.0,Premium,45,Natural_Scenery Natural_Scenery Natural_Scenery Ji_Nan_Shi Ji_Nan_Shi 4A Shandong Premium
Da Qing Tie Ren Ji Nian Guan,Revolutionary_Site,4A,Da_Qing_Shi,Heilongjiang,0.0,MidRange,46,Revolutionary_Site Revolutionary_Site Revolutionary_Site Da_Qing_Shi Da_Qing_Shi 4A Heilongjiang MidRange
Da Tang Fu Rong Yuan,Theme_Park,5A,Xi_An_Shi,Shaanxi,120.0,Premium,47,Theme_Park Theme_Park Theme_Park Xi_An_Shi Xi_An_Shi 5A Shaanxi Premium
Da Tong Huo Shan Qun,Zi_Ran_Qi_Guan,4A,Da_Tong_Shi,Shanxi,0.0,MidRange,48,Zi_Ran_Qi_Guan Zi_Ran_Qi_Guan Zi_Ran_Qi_Guan Da_Tong_Shi Da_Tong_Shi 4A Shanxi MidRange
Da Xing An Ling Mo He Bei Ji Cun,Natural_Scenery,4A,Da_Xing_An_Ling_Di_Qu,Heilongjiang,68.0,Premium,49,Natural_Scenery Natural_Scenery Natural_Scenery Da_Xing_An_Ling_Di_Qu Da_Xing_An_Ling_Di_Qu 4A Heilongjiang Premium
Da Yan Ta,Historical_Culture,5A,Xi_An_Shi,Shaanxi,50.0,Premium,50,Historical_Culture Historical_Culture Historical_Culture Xi_An_Shi Xi_An_Shi 5A Shaanxi Premium
Dan Dong Feng Huang Shan,Natural_Scenery,4A,Dan_Dong_Shi,Liaoning,80.0,Premium,51,Natural_Scenery Natural_Scenery Natural_Scenery Dan_Dong_Shi Dan_Dong_Shi 4A Liaoning Premium
Dan Xia Shan,Natural_Scenery,5A,Shao_Guan_Shi,Guangdong,100.0,Premium,52,Natural_Scenery Natural_Scenery Natural_Scenery Shao_Guan_Shi Shao_Guan_Shi 5A Guangdong Premium
Dao Cheng Ya Ding,Natural_Scenery,5A,Gan_Zi_Zhou,Sichuan,146.0,Premium,53,Natural_Scenery Natural_Scenery Natural_Scenery Gan_Zi_Zhou Gan_Zi_Zhou 5A Sichuan Premium
De Hang Da Xia Gu,Natural_Scenery,4A,Xiang_Xi_Zhou,Hunan,100.0,Premium,54,Natural_Scenery Natural_Scenery Natural_Scenery Xiang_Xi_Zhou Xiang_Xi_Zhou 4A Hunan Premium
De Tian Pu Bu,Natural_Scenery,5A,Chong_Zuo_Shi,Guangxi,115.0,Premium,55,Natural_Scenery Natural_Scenery Natural_Scenery Chong_Zuo_Shi Chong_Zuo_Shi 5A Guangxi Premium
De Zhou Tai Yang Gu,Theme_Park,4A,De_Zhou_Shi,Shandong,80.0,Premium,56,Theme_Park Theme_Park Theme_Park De_Zhou_Shi De_Zhou_Shi 4A Shandong Premium
Dian Chi,Natural_Scenery,4A,Kun_Ming_Shi,Yunnan,0.0,MidRange,57,Natural_Scenery Natural_Scenery Natural_Scenery Kun_Ming_Shi Kun_Ming_Shi 4A Yunnan MidRange
Dong Bei Hu Lin Yuan,Zoo,4A,Ha_Er_Bin_Shi,Heilongjiang,90.0,Premium,58,Zoo Zoo Zoo Ha_Er_Bin_Shi Ha_Er_Bin_Shi 4A Heilongjiang Premium
Dong Fang Ming Zhu,Urban_Landmark,5A,Shanghai,Shanghai,220.0,Premium,59,Urban_Landmark Urban_Landmark Urban_Landmark Shanghai Shanghai 5A Shanghai Premium
Dong Guan Ke Yuan,Historical_Architecture,4A,Dong_Guan_Shi,Guangdong,8.0,Premium,60,Historical_Architecture Historical_Architecture Historical_Architecture Dong_Guan_Shi Dong_Guan_Shi 4A Guangdong Premium
Dong Hu,Natural_Scenery,5A,Wu_Han_Shi,Hubei,0.0,MidRange,61,Natural_Scenery Natural_Scenery Natural_Scenery Wu_Han_Shi Wu_Han_Shi 5A Hubei MidRange
Dong Jiang Hu,Natural_Scenery,5A,Chen_Zhou_Shi,Hunan,80.0,Premium,62,Natural_Scenery Natural_Scenery Natural_Scenery Chen_Zhou_Shi Chen_Zhou_Shi 5A Hunan Premium
Dong Lin Si,Religious_Culture,4A,Jiu_Jiang_Shi,Jiangxi,0.0,MidRange,63,Religious_Culture Religious_Culture Religious_Culture Jiu_Jiang_Shi Jiu_Jiang_Shi 4A Jiangxi MidRange
Du Fu Cao Tang,Historical_Culture,4A,Cheng_Du_Shi,Sichuan,60.0,Premium,64,Historical_Culture Historical_Culture Historical_Culture Cheng_Du_Shi Cheng_Du_Shi 4A Sichuan Premium
Du Jiang Yan,Historical_Site,5A,Cheng_Du_Shi,Sichuan,90.0,Premium,65,Historical_Site Historical_Site Historical_Site Cheng_Du_Shi Cheng_Du_Shi 5A Sichuan Premium
E Mei Shan,Natural_Culture,5A,Le_Shan_Shi,Sichuan,160.0,Premium,66,Natural_Culture Natural_Culture Natural_Culture Le_Shan_Shi Le_Shan_Shi 5A Sichuan Premium
E Zhou Liang Zi Hu,Natural_Scenery,4A,E_Zhou_Shi,Hubei,0.0,MidRange,67,Natural_Scenery Natural_Scenery Natural_Scenery E_Zhou_Shi E_Zhou_Shi 4A Hubei MidRange
En Shi Da Xia Gu,Natural_Scenery,5A,En_Shi_Zhou,Hubei,170.0,Premium,68,Natural_Scenery Natural_Scenery Natural_Scenery En_Shi_Zhou En_Shi_Zhou 5A Hubei Premium
Fa Men Si,Religious_Culture,5A,Bao_Ji_Shi,Shaanxi,100.0,Premium,69,Religious_Culture Religious_Culture Religious_Culture Bao_Ji_Shi Bao_Ji_Shi 5A Shaanxi Premium
Fang Cheng Gang Shi Wan Da Shan,Natural_Scenery,4A,Fang_Cheng_Gang_Shi,Guangxi,60.0,Premium,70,Natural_Scenery Natural_Scenery Natural_Scenery Fang_Cheng_Gang_Shi Fang_Cheng_Gang_Shi 4A Guangxi Premium
Fang Chuan Feng Jing Qu,Natural_Scenery,4A,Yan_Bian_Zhou,Jilin,70.0,Premium,71,Natural_Scenery Natural_Scenery Natural_Scenery Yan_Bian_Zhou Yan_Bian_Zhou 4A Jilin Premium
Fang Te Huan Le Shi Jie,Theme_Park,5A,Wu_Hu_Shi,Anhui,280.0,Premium,72,Theme_Park Theme_Park Theme_Park Wu_Hu_Shi Wu_Hu_Shi 5A Anhui Premium
Fen Jie Zhou Dao,Natural_Scenery,5A,Ling_Shui_Xian,Hainan,132.0,Premium,73,Natural_Scenery Natural_Scenery Natural_Scenery Ling_Shui_Xian Ling_Shui_Xian 5A Hainan Premium
Feng Huang Gu Cheng,Ancient_Town,4A,Xiang_Xi_Zhou,Hunan,148.0,Premium,74,Ancient_Town Ancient_Town Ancient_Town Xiang_Xi_Zhou Xiang_Xi_Zhou 4A Hunan Premium
Fu Jian Tu Lou,Historical_Architecture,5A,Long_Yan_Shi,Fujian,100.0,Premium,75,Historical_Architecture Historical_Architecture Historical_Architecture Long_Yan_Shi Long_Yan_Shi 5A Fujian Premium
Fu Rong Zhen,Ancient_Town,4A,Xiang_Xi_Zhou,Hunan,75.0,Premium,76,Ancient_Town Ancient_Town Ancient_Town Xiang_Xi_Zhou Xiang_Xi_Zhou 4A Hunan Premium
Fu Shun He Tu A La Cheng,Historical_Culture,4A,Fu_Shun_Shi,Liaoning,60.0,Premium,77,Historical_Culture Historical_Culture Historical_Culture Fu_Shun_Shi Fu_Shun_Shi 4A Liaoning Premium
Fu Xian Hu,Natural_Scenery,4A,Yu_Xi_Shi,Yunnan,0.0,MidRange,78,Natural_Scenery Natural_Scenery Natural_Scenery Yu_Xi_Shi Yu_Xi_Shi 4A Yunnan MidRange
Fu Xin Hai Tang Shan,Natural_Culture,4A,Fu_Xin_Shi,Liaoning,50.0,Premium,79,Natural_Culture Natural_Culture Natural_Culture Fu_Xin_Shi Fu_Xin_Shi 4A Liaoning Premium
Fu Zhou Gu Shan,Natural_Scenery,4A,Fu_Zhou_Shi,Fujian,40.0,Premium,80,Natural_Scenery Natural_Scenery Natural_Scenery Fu_Zhou_Shi Fu_Zhou_Shi 4A Fujian Premium
Fu Zhou San Shan Liang Ta,Historical_Culture,4A,Fu_Zhou_Shi,Fujian,0.0,MidRange,81,Historical_Culture Historical_Culture Historical_Culture Fu_Zhou_Shi Fu_Zhou_Shi 4A Fujian MidRange
Fu Zi Miao Qin Huai Feng Guang Dai,Historical_Culture,5A,Nan_Jing_Shi,Jiangsu,0.0,MidRange,82,Historical_Culture Historical_Culture Historical_Culture Nan_Jing_Shi Nan_Jing_Shi 5A Jiangsu MidRange
Gao Ju Li Yi Zhi,Historical_Site,5A,Tong_Hua_Shi,Jilin,100.0,Premium,83,Historical_Site Historical_Site Historical_Site Tong_Hua_Shi Tong_Hua_Shi 5A Jilin Premium
Gong Wang Fu,Historical_Architecture,5A,Beijing,Beijing,40.0,Premium,84,Historical_Architecture Historical_Architecture Historical_Architecture Beijing Beijing 5A Beijing Premium
Gu Bei Shui Zhen,Ancient_Town,4A,Beijing,Beijing,140.0,Premium,85,Ancient_Town Ancient_Town Ancient_Town Beijing Beijing 4A Beijing Premium
Gu Gong Bo Wu Yuan,Historical_Culture,5A,Beijing,Beijing,60.0,Premium,86,Historical_Culture Historical_Culture Historical_Culture Beijing Beijing 5A Beijing Premium
Gu Hui Zhou Wen Hua Lv You Qu,Historical_Culture,5A,Huang_Shan_Shi,Anhui,148.0,Premium,87,Historical_Culture Historical_Culture Historical_Culture Huang_Shan_Shi Huang_Shan_Shi 5A Anhui Premium
Gu Lang Yu,Historical_Culture,5A,Xia_Men_Shi,Fujian,90.0,Premium,88,Historical_Culture Historical_Culture Historical_Culture Xia_Men_Shi Xia_Men_Shi 5A Fujian Premium
Guan Lin,Historical_Culture,4A,Luo_Yang_Shi,Henan,40.0,Premium,89,Historical_Culture Historical_Culture Historical_Culture Luo_Yang_Shi Luo_Yang_Shi 4A Henan Premium
Guang Fu Gu Cheng,Ancient_Town,5A,Han_Dan_Shi,Hebei,90.0,Premium,90,Ancient_Town Ancient_Town Ancient_Town Han_Dan_Shi Han_Dan_Shi 5A Hebei Premium
Guang Zhou Ta,Urban_Landmark,4A,Guang_Zhou_Shi,Guangdong,150.0,Premium,91,Urban_Landmark Urban_Landmark Urban_Landmark Guang_Zhou_Shi Guang_Zhou_Shi 4A Guangdong Premium
Guang Zhou Zhang Long Lv You Du Jia Qu,Theme_Park,5A,Guang_Zhou_Shi,Guangdong,350.0,Premium,92,Theme_Park Theme_Park Theme_Park Guang_Zhou_Shi Guang_Zhou_Shi 5A Guangdong Premium
Gui Feng,Natural_Scenery,5A,Shang_Rao_Shi,Jiangxi,60.0,Premium,93,Natural_Scenery Natural_Scenery Natural_Scenery Shang_Rao_Shi Shang_Rao_Shi 5A Jiangxi Premium
Gui Gang Gui Ping Xi Shan,Natural_Culture,4A,Gui_Gang_Shi,Guangxi,80.0,Premium,94,Natural_Culture Natural_Culture Natural_Culture Gui_Gang_Shi Gui_Gang_Shi 4A Guangxi Premium
Gui Lin Li Jiang,Natural_Scenery,5A,Gui_Lin_Shi,Guangxi,210.0,Premium,95,Natural_Scenery Natural_Scenery Natural_Scenery Gui_Lin_Shi Gui_Lin_Shi 5A Guangxi Premium
Gui Lin Liang Jiang Si Hu,Natural_Scenery,5A,Gui_Lin_Shi,Guangxi,190.0,Premium,96,Natural_Scenery Natural_Scenery Natural_Scenery Gui_Lin_Shi Gui_Lin_Shi 5A Guangxi Premium
Gui Lin Xiang Bi Shan,Natural_Scenery,4A,Gui_Lin_Shi,Guangxi,55.0,Premium,97,Natural_Scenery Natural_Scenery Natural_Scenery Gui_Lin_Shi Gui_Lin_Shi 4A Guangxi Premium
Guo Jia Bo Wu Guan,Wen_Bo_Yuan_Guan,4A,Beijing,Beijing,0.0,MidRange,98,Wen_Bo_Yuan_Guan Wen_Bo_Yuan_Guan Wen_Bo_Yuan_Guan Beijing Beijing 4A Beijing MidRange
Ha Er Bin Bing Xue Da Shi Jie,Theme_Park,4A,Ha_Er_Bin_Shi,Heilongjiang,330.0,Premium,99,Theme_Park Theme_Park Theme_Park Ha_Er_Bin_Shi Ha_Er_Bin_Shi 4A Heilongjiang Premium
Hai Kou Huo Shan Kou,Natural_Scenery,4A,Hai_Kou_Shi,Hainan,54.0,Premium,100,Natural_Scenery Natural_Scenery Natural_Scenery Hai_Kou_Shi Hai_Kou_Shi 4A Hainan Premium
Hai Kou Qi Lou Lao Jie,Historical_Culture,3A,Hai_Kou_Shi,Hainan,0.0,MidRange,101,Historical_Culture Historical_Culture Historical_Culture Hai_Kou_Shi Hai_Kou_Shi 3A Hainan MidRange
Hai Luo Gou,Natural_Scenery,5A,Gan_Zi_Zhou,Sichuan,90.0,Premium,102,Natural_Scenery Natural_Scenery Natural_Scenery Gan_Zi_Zhou Gan_Zi_Zhou 5A Sichuan Premium
Han Yang Ling,Historical_Site,4A,Xian_Yang_Shi,Shaanxi,70.0,Premium,103,Historical_Site Historical_Site Historical_Site Xian_Yang_Shi Xian_Yang_Shi 4A Shaanxi Premium
Hang Zhou Song Cheng,Theme_Park,4A,Hang_Zhou_Shi,Zhejiang,320.0,Premium,104,Theme_Park Theme_Park Theme_Park Hang_Zhou_Shi Hang_Zhou_Shi 4A Zhejiang Premium
Hang Zhou Xi Hu,Natural_Scenery,5A,Hang_Zhou_Shi,Zhejiang,0.0,MidRange,105,Natural_Scenery Natural_Scenery Natural_Scenery Hang_Zhou_Shi Hang_Zhou_Shi 5A Zhejiang MidRange
Hang Zhou Xi Xi Shi Di,Natural_Scenery,5A,Hang_Zhou_Shi,Zhejiang,80.0,Premium,106,Natural_Scenery Natural_Scenery Natural_Scenery Hang_Zhou_Shi Hang_Zhou_Shi 5A Zhejiang Premium
He Chi Ba Ma Chang Shou Cun,Min_Su_Wen_Hua,4A,He_Chi_Shi,Guangxi,0.0,MidRange,107,Min_Su_Wen_Hua Min_Su_Wen_Hua Min_Su_Wen_Hua He_Chi_Shi He_Chi_Shi 4A Guangxi MidRange
He Gang Luo Bei Ming Shan Dao,Natural_Scenery,4A,He_Gang_Shi,Heilongjiang,50.0,Premium,108,Natural_Scenery Natural_Scenery Natural_Scenery He_Gang_Shi He_Gang_Shi 4A Heilongjiang Premium
He Shun Gu Zhen,Ancient_Town,4A,Bao_Shan_Shi,Yunnan,55.0,Premium,109,Ancient_Town Ancient_Town Ancient_Town Bao_Shan_Shi Bao_Shan_Shi 4A Yunnan Premium
He Zhou Huang Yao Gu Zhen,Ancient_Town,4A,He_Zhou_Shi,Guangxi,100.0,Premium,110,Ancient_Town Ancient_Town Ancient_Town He_Zhou_Shi He_Zhou_Shi 4A Guangxi Premium
Hei He Ai Hui Gu Cheng,Historical_Culture,4A,Hei_He_Shi,Heilongjiang,50.0,Premium,111,Historical_Culture Historical_Culture Historical_Culture Hei_He_Shi Hei_He_Shi 4A Heilongjiang Premium
Heng Dian Ying Shi Cheng,Theme_Park,5A,Jin_Hua_Shi,Zhejiang,310.0,Premium,112,Theme_Park Theme_Park Theme_Park Jin_Hua_Shi Jin_Hua_Shi 5A Zhejiang Premium
Heng Shui Hu,Natural_Scenery,4A,Heng_Shui_Shi,Hebei,30.0,Premium,113,Natural_Scenery Natural_Scenery Natural_Scenery Heng_Shui_Shi Heng_Shui_Shi 4A Hebei Premium
Hong Dong Da Huai Shu,Historical_Culture,5A,Lin_Fen_Shi,Shanxi,80.0,Premium,114,Historical_Culture Historical_Culture Historical_Culture Lin_Fen_Shi Lin_Fen_Shi 5A Shanxi Premium
Hong Hai Tan,Natural_Scenery,5A,Pan_Jin_Shi,Liaoning,85.0,Premium,115,Natural_Scenery Natural_Scenery Natural_Scenery Pan_Jin_Shi Pan_Jin_Shi 5A Liaoning Premium
Hong Qi Qu,Revolutionary_Site,5A,An_Yang_Shi,Henan,80.0,Premium,116,Revolutionary_Site Revolutionary_Site Revolutionary_Site An_Yang_Shi An_Yang_Shi 5A Henan Premium
Hu Kou Pu Bu,Natural_Scenery,4A,Lin_Fen_Shi,Shanxi,95.48672566371681,Premium,117,Natural_Scenery Natural_Scenery Natural_Scenery Lin_Fen_Shi Lin_Fen_Shi 4A Shanxi Premium
Hu Lu Dao Xing Cheng Gu Cheng,Historical_Culture,4A,Hu_Lu_Dao_Shi,Liaoning,50.0,Premium,118,Historical_Culture Historical_Culture Historical_Culture Hu_Lu_Dao_Shi Hu_Lu_Dao_Shi 4A Liaoning Premium
Hu Nan Sheng Bo Wu Guan,Wen_Bo_Yuan_Guan,4A,Chang_Sha_Shi,Hunan,0.0,MidRange,119,Wen_Bo_Yuan_Guan Wen_Bo_Yuan_Guan Wen_Bo_Yuan_Guan Chang_Sha_Shi Chang_Sha_Shi 4A Hunan MidRange
Hu Tiao Xia,Natural_Scenery,4A,Di_Qing_Zhou,Yunnan,65.0,Premium,120,Natural_Scenery Natural_Scenery Natural_Scenery Di_Qing_Zhou Di_Qing_Zhou 4A Yunnan Premium
Hua Guo Shan,Natural_Culture,5A,Lian_Yun_Gang_Shi,Jiangsu,90.0,Premium,121,Natural_Culture Natural_Culture Natural_Culture Lian_Yun_Gang_Shi Lian_Yun_Gang_Shi 5A Jiangsu Premium
Hua Qing Gong,Historical_Culture,5A,Xi_An_Shi,Shaanxi,120.0,Premium,122,Historical_Culture Historical_Culture Historical_Culture Xi_An_Shi Xi_An_Shi 5A Shaanxi Premium
Hua Shan,Natural_Scenery,5A,Wei_Nan_Shi,Shaanxi,160.0,Premium,123,Natural_Scenery Natural_Scenery Natural_Scenery Wei_Nan_Shi Wei_Nan_Shi 5A Shaanxi Premium
